id,nom_article,code_barres,date_peremption,PAU,PVU,PVG,categorie_id
1922,BLUE LAGOON 7500ML 42.8%V\V,8906059060441,,1917,2500,,1
1923,HAPPY BUL 75ML SANS ALCOOL,3014400225120,,1250,1750,,1
1924,CLUB  CLASS WHISKY 750ML,8901544041431,,2084,2500,,1
1925,ROYAL BLUE PREMIUM WHISKY 42.8%V\V,8906059060892,,2084,2500,,1
1926,GREEN PASSPASS WHISKY 750ML 42.8%,8904193400581,,2250,3000,,1
1927,POMME HAPPY BUL 750ML SANS ALCOOL,3014400225144,,1250,1750,,1
1928,DINASTY PARKLING RED COCKTAIL 0%ACOOL,3760134430650,,1250,1500,,1
1929,DINASTY SPARKLING BLUE COCKTAIL 0% ACOOL,3760134430643,,1250,1500,,1
1930,DINASTY SPARKLING APPLE DRANK BOISSON 0%ACOOL 750ML,3760134430629,,1250,1500,,1
1931,DINASTY SPARKLING RED GRAPE DRINK  BOISSON AU RAISIN ROUGE 0% ALCOOL 750ML,3760134430636,,1250,1500,,1
1932,HARDCORE MAX DRINK WITH VODKA ALC.19%VOL 250ML,5060103602292,,375,500,,1
1933,2500VERT AWHISKY GLASS TUMBLER 6PCS 2500f,2500,,1750,2500,,1
1934,BLUE BAND ORIGINAL 450G,6034000482072,,709,800,,1
1935,800KOUBRI YAOURT SUCRE FAMILIAL 50CL 800f,800,,725,800,,1
1936,800KOUBRI YAOURT NATURE 50CL 800f,,,700,800,,1
1937,250KOU YAOURT SUCRE 12.5CL 250,,,225,250,,1
1938,750le bon degue de petit 750F,,,600,750,,1
1939,750la dellcievse bouillie de petit mil 750F,,,600,750,,1
1940,chateau les maurins bordeaux 14.5%vol,3500610036835,,3833,5000,,1
1941,fortes tetes 13.5%,3547420000649,,3833,5000,,1
1942,terre damour vin rouge750ml 11%vol,3760273510077,,1417,2000,,1
1943,vin rouge -red wine vinho tinto 14%vol,3760134431879,,2167,3500,,1
1944,baron de ricot 750ml 11%vol,8410775121022,,1667,2000,,1
1945,grande terre grand vin table 15%,6186000087846,,1500,2000,,1
1946,bid coconut 720ml 20%,7897736406052,,2167,3000,,1
1947,state house premium whisky 42.8% 750ml,8902195008125,,1667,2500,,1
1948,o hour whisky 42.8%750ml,8906006622982,,2500,3500,,1
1949,grand master's whisky,8904193400284,,2916,3500,,1
1950,dark horse whisky 42.8% 750ml,8904020702741,,2500,3500,,1
1951,nana maternite,6192400652201,,1500,1750,,1
1952,comfrey adult diapeeeers,6928140302393,,3500,5000,,1
1953,smart adult diapers m 10pcs,6923509325112,,3500,5000,,1
1954,ananda adult diapers xl,6954444777131,,3500,5000,,1
1955,cream liqueur charnelle 17%vol 70ml,5414145138729,,3000,5000,,1
1956,grand master'svodka,8904193412973,,2084,2500,,1
1957,king legend enrgy drink 500ml,8681529001260,,500,600,,1
1958,200arcides 200F,,,150,200,,1
1959,aaa2 duracell long lasting power,5000394077164,,500,750,,1
1960,aa2duracell long lasting power guaranteed,5000394076952,,500,750,,1
1961,fatala aerosol insecticide perfume 750ml,6970439911076,,1667,2000,,1
1962,vigordoctor toothpaste net,,1,100ml(130gram),500,,750
1963,proexpert organic aloe vera abaan 120ml,6941352000222,,500,750,,1
1964,aloe vera airsun triple action 100%natural origin,6941352000628,,500,750,,1
1965,pro complete plus whitening nte,,1,180g,750,,1000
1966,sivoderm soap with olive vil savon a lhuile d olive 230g,6181100382242,,500,600,,1
1967,noumeau total relax anti -moustiques 200ml,6181100232677,,700,900,,1
1968,kungfu master powerful insecticide aerosol net,,1,600ml,1250,,1500
1969,750panasonic hyper leak proof 750F,8887549037139,,417,750,,1
1970,yoplait vanille yaout brasse aromtise,6181007120374,,1000,1200,,1
1971,colgate fluoride toothpaste herdal 175g,6920354817830,,625,900,,1
1972,colgate fluoride toothpaste maxfresh new xtra fresh 130g 10x longer cooling,8718951324831,,750,1000,,1
1973,fluoryl syteme bi-fluor pemthol 125ml,6181100101058,,1084,1500,,1
1975,1003 desirex extra 100F,,,50,100,,1
1976,300bonus lait frais 300F,,,250,300,,1
1977,2250SANTEX MEDICATED SOP 2250f,,,2125,2250,,1
1978,1250CITEC SAVON EN BARRE POIDS ,1,1250,NET,5'O8KG 1250f,,1075
1980,1000five star disposable cupslpasic 1000F,,,800,1000,,1
1981,noble condoms,6930150191942,,188,300,,1
1982,noble condoms ultra thin-apple,6930150191959,,188,300,,1
1983,super delux condoms 3p c s,6941561700616,,94,250,,1
1985,300biscuit laziza300F,,,250,300,,1
1986,solemio huile de tournesol raffinee enrichie en vitamine a 1le,3265475240000,,1300,1750,,1
1987,chips krack45g,8887290526012,,555,700,,1
1988,500biscuit laziz500F,,,400,500,,1
1989,200biscut laziza200F,,,150,200,,1
1990,"doppel alc 6,5%vol 33oml",9501100006004,,396,500,,1
1991,500unete minitideka pommade 500F,,,417,500,,1
1993,touch,6182000122150,,400,500,,1
1994,touch green,6182000122105,,400,500,,1
1995,cremboss,8906048734964,,192,350,,1
1996,el baraka olive 2400g,6111184001159,,834,1000,,1
1997,folomi mango juice 330ml,8936020040462,,323,400,,1
1998,66 IMPO TED BEER 12%VOL,3760233510536,,480,600,,1
1999,JOHNNIE WALKER RED LABEL BLENDED SCOTCH WHISKY 400%VOL 75CL,5000267014074,,6042,8000,,1
2000,MALTA TONIC 33CL,9501100004215,,355,500,,1
2001,JACKDANIEL'S 750ML 35%VOL,82184001172,,11250,12500,,1
2002,JACKDANIEL'S HONEY 70CL 35%VOL,5099873001370,,11250,12500,,1
2004,500miel doux brio adeguster sans moderation 500F,,,400,500,,1
2005,1000miel 1000F,,,750,1000,,1
2006,800miel 800F,,,600,800,,1
2007,ala vie couscous 1kg,6111243620970,,900,1100,,1
2008,goldenmark angeito 100 adet/pcs,8699905720223,,2084,2500,,1
2009,red edition,6182000123324,,400,500,,1
2010,nouveau new xmed anti moustique net wt-100ml,3393710003704,,625,800,,1
2011,2000miel 100% naturel 2000F,,,1750,2000,,1
2012,18500salani riz 18500F,,,17500,18500,,1
2014,cgaya viandde de poulet poids net,,1,190g,500,,600
2015,cgaya viande de boeuf poids net,,1,190g,500,,600
2016,500le chat veritable savon marseille 500F,,,386,500,,1
2017,350bienco 24morceaua miss ivoire savon 350F,,,292,350,,1
2018,1750duralex depuis 1945 france unie made in 6x28cl 97/8oz 1750,,,1417,1750,,1
2019,savon antiseqtique xmed premium,3393710003766,,209,350,,1
2021,freegells extra fuerte mentol 317g,7891151003834,,72,125,,1
2022,mentos chewing spearmint,8935001721468,,186,300,,1
2023,pannier monyenn,6971623821324,,4015,6750,,1
2024,pannier yeecome,6972139386086,,4700,7000,,1
2025,5000pannie gros 5000F,,,3010,5000,,1
2026,couscous monyen poids net,,1,1kg,900,,1100
2027,pateseset couscous carmela net,,1,1kg,900,,1100
2028,flasg vodka mix double black 22/%vol 330ml,4260587130866,,480,700,,1
2029,200gateaux barro 200F,,,150,200,,1
2030,bama 100g,8410300363439,,1834,2000,,1
2031,350sardines em oleo vegetal  125g  350F,6111239600580,,290,350,,1
2032,cerelac wheat with milk ble avec du lait  125g,6221007033479,,575,650,,1
2033,diamon aluminum foil 2.32m(7.62mx30.4cm),10900005258,,625,1000,,1
2034,2000congnons-mousso-yako 2000F,,,1650,2000,,1
2035,200mangue seche 200F,,,150,200,,1
2036,500mangue seche 500F,,,400,500,,1
2037,300gateaux seydou traore 300F,,,250,300,,1
2038,juss power hits energy drink 250ml,8698720863979,,375,500,,1
2039,stone coconut milk 300ml,8936126161085,,375,500,,1
2040,stone aloe vera peach300ml,8936126160897,,375,500,,1
2041,stone alora blueberry 300ml,8936126160880,,375,500,,1
2042,500stone coconut milk mint 500F,,,375,500,,1
2043,500miel pur et naturel entreprise naturee vie 500F,,,400,500,,1
2044,250gracia's chinchin 250F,,,200,250,,1
2045,toujour mangue-ananas 250ml,6034002522301,,157,200,,1
2046,xmed milk savon au lait e coco,3993710003780,,209,350,,1
2047,500raisins seche 500F,,,374,500,,1
2048,200boule de neige ingredients oeufs lait beurre sucre vanille un peu de citron 200F,,,150,200,,1
2049,9500boite isotherme 9500F,,,6000,9500,,1
2050,8500f termosse pour enfant  8500F,,,6750,8500,,1
2051,cuillere 5000F,,,3015,5000,,1
2052,8500f  istancile de cuisine,,,6250,8500,,1
2053,epulcher,,,1656,3750,,1
2054,3800 grillage 3800,,,1750,3800,,1
2055,can opener,2618975406017,,625,1500,,1
2056,fork spoon,8859586705951,,310,1000,,1
2057,ouyamei,6971123958292,,465,1000,,1
2058,cutting egg machine,8699885458512,,362,1000,,1
2059,chengyue,,,569,1250,,1
2060,four handheld Graters,8033514782980,,387,750,,1
2061,teme,,,414,750,,1
2062,teme,,,621,1000,,1
2063,teme,,,414,750,,1
2064,pannie,,,1035,4500,,1
2065,Gros pannie,,,1250,2000,,1
2066,police,,,1035,2000,,1
2067,tb,6970556360061,,2900,4000,,1
2068,super Top,6973606451078,,5175,7000,,1
2069,poupe,,,4658,6500,,1
2070,couche  bebe,6036000074509,,1065,1500,,1
2071,bellavinas 12%-5litre,8004300022634,,9000,11000,,1
2072,willam lawson's 40%vol,5010752000352,,8750,9500,,1
2073,magic moments green apple flavoured vodka 37'5%vol,8902146012812,,2334,3000,,1
2074,Boum  Boum pina colada,5414145039927,,2042,2500,,1
2075,regal talons rere generation whisky 42'8%vol,8901556011729,,2334,3000,,1
2076,martin richnan single malt spirit 35%vol,4820136355722,,4667,6500,,1
2077,blue nun merlot 13%vol,4022025811030,,2584,3250,,1
2078,condor pea sweet  naturallu 12%vol,7791540046216,,2084,3000,,1
2079,grand sud cabernet 13% 1l,3263280104975,,2834,3500,,1
2080,LEROCHER DEGRANNA CABERNET SAUVIGNON 13%,3291890007188,,2667,3500,,1
2081,BONNE ESPERANCE  SWEET WHITE 8%,6002323019688,,2667,3500,,1
2082,BONNR ESPERANCE SWEET RED 8%,6002323019695,,2667,3500,,1
2083,SAND STONE SHIRAZ  145%,5608527003440,,3084,4000,,1
2084,MOUNTAIN VIEW CAPE RED 13'5%,6008922001567,,2834,3500,,1
2085,GRAND SUD CHARDONNAY 12'5%,3263286350161,,3306,3500,,1
2086,GRAND SUD SYRAH 12'5%,3263280101899,,3306,3500,,1
2087,GOLDEN KAAN SOUTH AFRICA MERLOT 14%,6002323000761,,3250,4500,,1
2088,EVA NON ALCOHOLIC WINE DRINK 0%,8410635029116,,1334,1750,,1
2089,TESLIVAL CROSS 0%NON,6034000399370,,1334,1750,,1
2090,TERRE DAMOUR VIN BLANC 11%,3760273510329,,209,2800,,1
2091,"PENASOL CABERNET SAUVIGNON 12,5%",8410702037518,,2000,2750,,1
2092,SANGUE DI GIUDA DELLOLTREPO PAVESE 7%,8018433020085,,3250,3500,,1
2093,CHAMBERI GRAND VIN DE TRADITION 12%,8410702007665,,2834,3500,,1
2094,3500poupe 3500,,,2505,3500,,1
2095,3250poupe 3250,,,2277,3250,,1
2096,2250poupe 2250F,,,1449,2250,,1
2097,3000 poupe,,,1239,3000,,1
2098,6500poupe 6500F,,,4014,6500,,1
2099,4000poupe 4000F,,,2070,4000,,1
2100,1500poupe 1500F,,,775,1500,,1
2101,1000poupe 1000F,,,750,1000,,1
2102,8000codis canemete 8000F,,,7500,8000,,1
2103,gin harpoon superior gin 1litre 40%,3014400013031,,1375,1700,,1
2104,touch blue,6182000123379,,400,500,,1
2105,touch gandour,6182000128107,,400,500,,1
2106,led 45led,6941335405440,,6219,7500,,1
2107,no-fxo502,6938388106028,,1650,2000,,1
2108,7500remote control 7500F,,,4650,7500,,1
2109,1750sooya 1750,,,1250,1750,,1
2110,3750city police 3750,,,2587,3750,,1
2111,3500best tricycle 3500F,,,2070,3500,,1
2112,4000crawle king 4000,,,2587,4000,,1
2113,tropica orange 99ml,4711476618113,,271,400,,1
2114,3750bicyle 03 3750,,,2600,3750,,1
2115,1750patrol 1750,,,750,1750,,1
2116,2000electric tricycle 2000F,,,800,2000,,1
2117,100bonus saches 100F,,,75,100,,1
2118,makel,5481855217501,,2691,5000,,1
2119,1750obao xingda 1750,,,828,1750,,1
2120,dp-led light,6939020442566,,1750,2500,,1
2121,4000bullet train 4000F,,,2587,4000,,1
2122,a c d e,,,750,1000,,1
2123,1750cooking 1750F,,,1242,1750,,1
2124,2000kitchenset 2000F,,,1300,2000,,1
2125,2000jnteresting radio 2000F,,,1034,2000,,1
2126,1000music piano 1234567i12 1000F,,,621,1000,,1
2127,1500converslon 1500F,,,932,1500,,1
2128,1250music toy 1250F,,,725,1250,,1
2129,jysuper jy-1703,6941507400822,,1552,2750,,1
2130,2750troches 2750F,,,1552,2750,,1
2131,STRONG LIGHT FLAHLIGHT,8503626766029,,1035,2250,,1
2132,DP LED RECHARGEABLE,6939020420366,,2587,3000,,1
2133,4000SPORTS CAR 4000f,,,2587,4000,,1
2134,1250TOYS CAME 1250f,,,657,1250,,1
2135,tiger world,6935254801117,,215,500,,1
2136,mr bond,6938097600343,,70,150,,1
2137,1500candena 1500F,,,800,1500,,1
2138,750candena 750F,,,500,750,,1
2139,label classic black 100cl 400%,3147690025702,,5417,6500,,1
2140,exra fort mouchoirs 3plis,6181003013991,,56,100,,1
2141,lotus,6181003026038,,334,400,,1
2142,alkaline petite,6932620208105,,750,1000,,1
2143,boisson au citron ala saveur de the 400g,4002309005249,,1500,1750,,1
2144,stop moustic gel,6181100380514,,700,900,,1
2147,cho cho wafer snack 40g,8992952950484,,500,600,,1
2148,special desire,4602228000082,,115,250,,1
2149,shaka mixer 18%,8431101996060,,334,500,,1
2150,flor de la mar portugal 15.5%,5608527003433,,2667,3750,,1
2152,deli belge lait demi ecreme 1l,90002526,,1000,1250,,1
2153,youki cola 1.5cl,3700029401792,,625,900,,1
2154,1100choco amigo poids net.400g 1100F,,,917,1100,,1
2155,750rhake killing mat 30pcs 750F,,,550,750,,1
2156,cho wafer 40g,8992952924461,,500,600,,1
2157,cho cho 40g,8992952924669,,500,600,,1
2158,afzal,802084125064,,600,1000,,1
2159,afzal minth grape,802084132581,,600,1000,,1
2160,touch sans alcool,6182000130025,,334,500,,1
2161,jack daniels 200ml,5099873046173,,2917,3500,,1
2162,cremica premium buttet shortbread bisuits net wt.170g,8906001380139,,750,900,,1
2163,saba 15g,9555246313892,,21,25,,1
2164,the maker grants wsiky 1litre 40%,5010327223209,,5417,7000,,1
2165,bifa susamli 80g,8690562003148,,153,200,,1
2166,1250milestone 100 375ml 1250F,,,895,1250,,1
2167,cuvee cabernet 750ml alc 13.5%,6033000510181,,2000,3000,,1
2168,JACK SACHES LAUSANNE NET,,1,38G,112,,150
2169,700milestone 100 180ml  som 48.8% 700F,,,430,700,,1
2170,300MILESTONE 100  90ML 300f,,,210,300,,1
2171,frutelli jus naturel mangue 1ltre,6253500771442,,750,1000,,1
2172,amora mayo blanche,8712423054134,,1417,1700,,1
2173,le lait concentre sucre 1l,9557727931243,,875,1000,,1
2174,anmo petit buerre,8902268005600,,97,150,,1
2176,1700desperados original beer-biere 17000F,,,16000,17000,,1
2177,soldat spirales  anti-moustiques 20,6920613700231,,556,800,,1
2178,creamz vanille,8906001585534,,334,500,,1
2179,creamz ananas,8906001585558,,334,500,,1
2180,creamz strawberry,8906001585527,,334,500,,1
2181,creamz orange,8906001585541,,334,500,,1
2182,creamz chocolate biscuits,8906001585510,,334,500,,1
2183,cocacola gout original 50cl,54491472,,367,400,,1
2184,2400eouf 2400F,,,2300,2400,,1
2185,maggi gout poulet chiken flavour 600g,6043000011120,,1317,1400,,1
2187,pippo fruit drink mango 250ml,6034000493504,,105,200,,1
2188,pippo fruit drink pineapple 250ml,6034000493528,,105,200,,1
2189,baron du valse vin rouge red wine 110%,8420209008041,,1750,2250,,1
2190,SOLAR DE RICOT VINO SEMIDULCE 11%,8410775002314,,1336,2000,,1
2191,8250FOUR SPECAIL 8250f,,,0,0,,1
2192,13000MOUSCADOR 13000f,,,12000,13000,,1
2193,faqiang glassware 6p c s,6935031403749,,2750,3500,,1
2194,tiktok multifruits,6034000255003,,65,100,,1
2197,1750atlantic  30p c s plate 1750F,6553520161112,,1400,1750,,1
2198,2500x 2500F,,,2300,2500,,1
2199,500papyrus 100 table napkins 500F,6033000230089,,267,500,,1
2200,softcare sanitary pad 6.....heavy.....normal 4,6033000410924,,455,500,,1
2201,200lion playingcards 3005 200f,,,165,200,,1
2202,hard premium v.i.p,6949298873016,,84,200,,1
2203,500angola toothpaste 500f,,,334,500,,1
2204,v i p premium,6958404390132,,108,250,,1
2205,yazz toothbrush,670875891395,,117,300,,1
2206,scour power,6971603720012,,160,300,,1
2207,750brosses  amicare 750f,,,458,750,,1
2208,geisha germiguard 2in1 225g,6033000295095,,417,500,,1
2209,so klin net 900g,8998866613682,,1109,1500,,1
2210,classic  cmpound chocolate with hazelnut 90g,8691707052359,,237,300,,1
2211,3500chefset happy and each day 3500f,,,2875,3500,,1
2212,2250kitchen cooking together 2250f,,,1720,2250,,1
2213,2250kitchen happy warning,,1,no-7102 2250f,1615,,2250
2214,2250itchenset interesting  2250f,,,1615,2250,,1
2215,3500dream kitchen 3500f,,,2875,3500,,1
2216,deav cupid baby diaper  4-9kg m24,6954465900303,,1680,1900,,1
2217,cheers chocolate cream biscuits 180g,8906057881017,,563,700,,1
2218,cheers vanilla cream biscuits 180g,8906057881055,,563,700,,1
2219,khaleej mint with cream flavor,6297000935225,,750,1000,,1
2220,100roleta brown kraft pocket envelope peel eseal 9-0x12.76inch 100f,,,70,100,,1
2221,4000miel doux bio 100% NATUREL  ADEGUSTER SANS MODERATION 1L 4000F,,,3500,4000,,1
2222,mosquito lion,6949147784760,,300,400,,1
2223,fatala insecticide odorless 300ml,6970439911007,,793,1000,,1
2224,outi  insecticide  400ml,6925419099992,,1250,1500,,1
2225,idrahim mosquito coil,6949147784715,,300,400,,1
2226,holy black mosquito coils,6036000082115,,350,500,,1
2227,read  a dream insecticide yuanmeng,6933335520308,,917,1200,,1
2228,insecticide spray multi-purpose,6920801800040,,791,1000,,1
2229,nutri snax oats digestive,6033000301345,,278,400,,1
2230,4000miel pure et entreprise nature evie recolte san flamme et par les techniciens apicoles4000f,,,3500,4000,,1
2231,mn1500b4 duracell,413330010920,,750,1250,,1
2232,600beaurre dekarite karisoin 600f,,,500,600,,1
2233,alcool hygiene cutanee solution 90g,6181100537703,,500,750,,1
2234,diplomat charcoal net.wt.100m,6939727609446,,750,1000,,1
2235,airpro includes 3 refills,814816012054,,1250,2000,,1
2236,cuirdent toothpick,6931575118057,,191,400,,1
2237,25nice chewing gum fresh  25f,6965300917905,,20,25,,1
2238,cuirdent jing pin zhu mu ya qian,6523654785696,,84,100,,1
2239,confuking plant fiber mosquito coils,5060148951911,,213,250,,1
2240,vody volka energy mix 5.9%,4102610509877,,417,500,,1
2241,cavity protection medi soft toothpaste netto,,1,100g,292,,500
2242,flag speciale biere de luxe 33cl 5'2% alc'vol,3700029430013,,365,500,,1
2243,peddra de pias vinho tinto -red wine .vin rouge 750ml 13%vol,5601110006521,,1500,2500,,1
2244,gout poulet maggi 600g,6181002021232,,1317,1400,,1
2245,sparkling legend green cocktail 750ml,918273120434,,1198,1500,,1
2246,red legend grape  non alcoholic 750ml,918273645555,,1198,1500,,1
2247,apple legend sparkling non alcoholic 750ml,918273645593,,1198,1500,,1
2248,legend purple cocktail 750ml,918273120489,,1198,1500,,1
2249,blue cocktail legend 750ml,918273645586,,1198,1500,,1
2250,pink coctail legend 750ml,918273645562,,1198,1500,,1
2251,grape cranberry legend 750ml,918273120441,,1198,1500,,1
2252,white grape  non alcoholic legend 750ml,918273645579,,1198,1500,,1
2253,legend strawberry refrehing drink 750ml,918273120458,,1198,1500,,1
2254,rexona shower clean deodorant 48h 200ml,8714100019733,,1450,1800,,1
2255,bridel demi -ecrem 1litre,3428200320501,,1375,1500,,1
2256,khaleej two apples flavor,6297000712048,,750,1000,,1
2257,torino huille olive,6297000805528,,1250,1500,,1
2258,sara chicken luncheon meat 340g,7896041167559,,792,1000,,1
2259,american chef light meat tuna,8858952020117,,667,900,,1
2260,docanned star tuna,6971334900028,,667,900,,1
2261,tiara quick cooking 500g,5352102492104,,1125,1350,,1
2262,1000frischhalte-folie cling film 1000f,,,850,1000,,1
2263,amigo chocolat au lait,6186000135196,,389,400,,1
2264,gold- ringe biscuits sables 400g,4006529002170,,100,1200,,1
2265,confiture apricot jam,6223005050489,,834,1000,,1
2266,confiture orange jam,6223005050632,,834,1000,,1
2267,wassa wassa nescafe orignal 3in 20g,6033000087577,,80,100,,1
2268,tomate ginny net weight,,1,210g,198,,250
2269,tomate salsa 70g,8010966215143,,85,100,,1
2270,p m 8 petite,8902147010954,,235,300,,1
2271,ludo freshener eliminates odors,6932237730921,,750,1000,,1
2272,top collection pure soft air freshener 300ml,8908002099164,,750,1000,,1
2273,lait president semi-skimmed 1l,3228024910373,,1292,1500,,1
2274,lave-vitres 1l,3700311867855,,896,1250,,1
2275,lait president demi-ecreme 50cl,3228023940166,,646,750,,1
2276,700bougie daniversaire gror 700f,,,375,700,,1
2277,500bougie daniversaire monyenn 500f,,,292,500,,1
2278,warrior,6937372242582,,1250,1500,,1
2279,boos cologne,6937926306449,,1500,1750,,1
2280,prphecy,6937926314741,,1250,1500,,1
2281,paris fleurs,6937926307965,,1500,1750,,1
2282,sovereign world,6937926305206,,1250,1500,,1
2283,reve dor,6937926306494,,1500,1750,,1
2284,blanc incidence 20ml,6181100329384,,400,500,,1
2285,1500balila eau de toilette 1500f,,,1250,1500,,1
2286,royale eau de toilette pour homme,6937372297025,,1500,2000,,1
2287,750parfum special spray 8o% vol sivop 120ml 750f,,,500,750,,1
2288,apollo axe eau de parfum 100ml,6937372278567,,1250,1750,,1
2289,dagmar 20ml,6181100326062,,400,500,,1
2290,cobra 20ml,6181100324716,,400,500,,1
2291,matador no,,1,8296 100ml,1500,,1800
2292,1800emergency eau de parfum 1800f,,,1500,1800,,1
2293,1500brut  feberg 1500f,,,1250,1500,,1
2294,beckon mosquito repellent,6932485151189,,400,500,,1
2295,1250huile de coco 100% naturel 1250f,,,1000,1250,,1
2296,vinut tamarind juice 33cl,8936121110736,,313,400,,1
2297,2000patron parfum 2000f,,,1500,2000,,1
2298,jameelah,6295253093334,,2750,3500,,1
2299,khalifa,6295253059330,,2750,3500,,1
2300,sadaat,6295253053130,,2750,3500,,1
2301,alaqmar,6295253030032,,2750,3500,,1
2302,burhan,6295253026639,,2750,3500,,1
2303,amani,6295253018832,,2750,3500,,1
