id,nom_article,code_barres,date_peremption,PAU,PVU,PVG,categorie_id
1592,lam gillette silver blue,7393560010170,,300,400,,1
1593,big mipa 1,6181005300686,,130,150,,1
1594,2x2 4x gillette blue,3014260265885,,386,500,,1
1595,"ozmo hoppo  ,larla hazine avi basliyor 90g",8699141057138,,709,850,,1
1596,biscolata mood milk chocolate 115g,8699141057060,,709,850,,1
1597,alvita biscuit with coconut taste,6262910300067,,792,1000,,1
1598,alvita biscuit fraise taste,6262910300234,,792,1000,,1
1599,alvita biscuit hith cardamom taste,6262910300142,,792,1000,,1
1600,alvita biscuit with hazlnut,6262910300128,,792,1000,,1
1601,2000sodigaz apc 2000,,,1760,2000,,1
1602,jus de petit cola energetique,549470950014,,792,1000,,1
1603,xana ananas non alcoholic  750ml,8413481040113,,1250,1500,,1
1604,xana fraise non alcoolique,8413481040069,,1250,1500,,1
1605,rhum gommier barrique 44%vol 100cl,5414145039910,,2084,2500,,1
1606,bellavinas 12%vol 2le,8004300022610,,3000,4500,,1
1607,rare blended scotch  whisky 40% 1litre,5010103800457,,9084,11000,,1
1608,agor moldova alc 16%by vol. 750ml,4840358008060,,4667,6000,,1
1609,"luxe mousseux benard berrier demi sec 10,5%vol 75cl",5414145051592,,1584,2000,,1
1610,pouma vin rouge sec grand vin rouge 15% 750ml,6186000087143,,1417,2000,,1
1611,"luxe mousseux rose benard berrier 10,5%vol e75cl",5414145051608,,1584,2000,,1
1612,sidra asturiana el mayu alc.4.1% vol 75cl,8413481112100,,1584,2250,,1
1613,"sansilvestro dulis rosso-red 750ml prodotto in italia 5,5%vol",8008156012061,,3250,4000,,1
1614,"dieux papes merlot syrah cuvee resevee cette bouteille porte le 75cl 12,5%vol",3175529633941,,3350,4400,,1
1615,les ormes de cambras cinsault syras pa12%,3211203420091,,3800,4800,,1
1616,beauvillon medium sweet 12%vol,3180280404556,,2950,4000,,1
1617,maison caste france bordeaux 14%vol 75cl/750ml,3211201046613,,5100,6500,,1
1618,"african legend alc 5,2%vol 33cl",3760273510015,,438,500,,1
1619,"8000african legend premium qualiti perefectly balanced alc,5,2%vol canton 8000F",,,7500,8000,,1
1620,11000african legend berr canton 11000F,,,10500,11000,,1
1621,since 1887 grants whisky 40%alc/vol 1litre,5010327000497,,6250,7500,,1
1622,since 1982 verbony aperitif vermouth 16%vol bony 100cl,3760134430216,,1917,2500,,1
1623,bony red finst spirit 43%vol 100cl,3760134430001,,1667,2000,,1
1624,the bony mark bony black 43%vol 100cl,3760134430049,,1667,2000,,1
1625,"vin btl st jean rouge-red wine 10,5%vol 75cl",3760134430902,,1167,1600,,1
1626,le pichet  rouge vin de la communaute europeenne 11%vol 75cl,3211200029471,,2700,3700,,1
1627,les puces medium sweet rouge\red maison castel 11.5%vol 75cl,3211209290841,,2950,4000,,1
1628,17000liza riz blanc cindien25%50kg n,,1,et17000F,16000,,1
1630,15500guinness carton15500F,,,14500,15500,,1
1631,royal circle whisky 1000ml/75/42.8%vol,8904023701352,,2209,3000,,1
1632,mantha spirituex alamenthe 50%vol 1litre 1500,,,1292,1500,,1
1633,double concetre de tomato salsa 28%,8010966215174,,473,600,,1
1634,spaghetti gilda 250g,8008414000427,,148,200,,1
1635,700lait enpourde 700F,,,525,700,,1
1636,olinda pure ceylon tea 100%prmium ceylon tea,4792021028243,,1230,1400,,1
1637,casablanca eau de parfum,8992832183117,,2000,2500,,1
1638,venizia homme de toitte 100ml,6181100455670,,1750,2000,,1
1639,court  for man eau de toitte  100g 80% 3.3fl.oz,6186000056149,,2250,2500,,1
1640,jeno  eau de toilette 60ml 2floz rudy perfume inc 1500,,,1250,1500,,1
1641,2250 24heres 2250,,,1750,2250,,1
1642,1500brut parfum 1500,,,1250,1500,,1
1643,kariba paris,6937372273241,,1500,1750,,1
1644,pixy yuri lily deodorant net 100ml,4902806007824,,400,600,,1
1645,beckon mosquito repellent soften net 108ml,6932485151165,,375,500,,1
1646,beckon,6932485151172,,375,500,,1
1647,soft-hair permanent cream relaxer,6181100323481,,700,900,,1
1648,soft-hair sivop,6181100323337,,400,500,,1
1649,shampooing shampoo sulfur-18,6181100321531,,400,500,,1
1650,dr.wang savon menthole energisant-antifatigue,115200537611,,600,750,,1
1651,medi soft  cavity protection,,,400,500,,1
1652,chewing gum etalon poids,,1,400g,600,,650
1653,300tayas orient chocolate 80g 300F,,,223,300,,1
1654,7750spaghetti gilda 1 carton7750,,,7500,7750,,1
1655,cotton buds doria saches,6934675100243,,49,100,,1
1656,crident,6932229033238,,75,100,,1
1657,100crident 100F,,,73,100,,1
1658,conton pearl buds 200,6932188458516,,417,700,,1
1659,chelsea air freshener 300ml,6291110096913,,1167,1500,,1
1660,petit beurre extra riche en ble netto 200g,3250390844198,,950,1200,,1
1661,carrte noirt classique delicat e aromatique 25 sticks 45g,8000070016675,,2375,2750,,1
1662,amullya bourbon,8906018993698,,480,600,,1
1663,belle france the au citron 25 sachets fraicheur poids net,,1,50g,1100,,1400
1664,leroux depuis 18.58 chicoree cacao te peu sucre poids net,,1,125g,1834,,2200
1665,arome substitut de vinaigre blanc 5' 1l,6186000070022,,542,700,,1
1666,netto vinaigre de cidre  volume net,,1,75cle 5% d'acidite,1667,,2000
1667,petit beurre belle france 24 biscuits poids 220g,3258561020297,,938,1250,,1
1668,bon bon rio pop,6181100064056,,1094,1250,,1
1669,1300fonio precuit poids,,1,1kg 78035389 1300F,1100,,1300
1670,delight,6034000510010,,1000,1200,,1
1671,beghin say sucre no4 morceaux 1kg,3174660000124,,670,800,,1
1672,sucre morceaux 5x1 kge=5kg,0103174660088405100202O02744,,3350,3750,,1
1673,manile paper  envelope diamond gummed kraft manila  25pcs,6975437050239,,350,500,,1
1674,lotus de  vehicul  150 ulttra soft tisses,634158787744,,598,800,,1
1675,golden non dairy creamer net wt,,1,250g,450,,700
1676,50rio pop 50F,,,25,50,,1
1677,top choco chocolate bread spread net,,1,650g,1230,,1500
1678,100diaba sachets de 100F,,,75,100,,1
1679,kadi moutarde de dijon 1l,6044000170428,,1250,1500,,1
1680,super-max stainless,5013405653240,,60,100,,1
1681,tamaro deglet nou net,,1,250,459,,700
1682,1400tamaro ravier 500g 1400F,,,917,1400,,1
1683,puma pineapple 350ml,6033000341785,,134,200,,1
1684,nan comfort,7501058633958,,3525,3650,,1
1685,17500sosuco sn 7500,,,17000,17500,,1
1686,11000uncle sam 25kg 11000,,,9900,11000,,1
1687,9500liza parboiled indian rice 5% 9500,,,8500,9500,,1
1688,9000indian white rice  100%pure natural 25% boken 9000F,,,8125,9000,,1
1689,oro lavanda  405300ml,8410498250160,,938,1100,,1
1690,"original jp.chenet france merlot rond fruite smooth fruity 13,5%vol.e750ml",3263286328993,,2584,3250,,1
1691,crespo olives vertes entieres whole green olives in brine groene olijven met pit 354g 22g,3076820005164,,834,1000,,1
1692,pasta tom  abase de semoule de ble poids 500g,3665225000173,,425,600,,1
1693,dental flossl tootpick,6944768283302,,188,500,,1
1694,finecup 50 pieces disposable 370 cc,6033000161031,,617,1000,,1
1695,doffi lasting fresh for8,6034000307122,,66,100,,1
1696,3500pannier 3500F,6957111508199,,2040,3500,,1
1697,1000 ml free-gratuit revlon realistic natural honey aloe vera,6001374037801,,1530,2250,,1
1698,broli moutarde dijon 370g,8718182021875,,562,600,,1
1699,nouveau new noura lave-vitre glasscleaner eclatant et propre 750ml+5%,6040201379547,,625,850,,1
1700,alyssa tomato ketchup 5kg,6181100571011,,5500,6500,,1
1701,body lotio/lat  corps nourishing cocoa beurre de cacao 48h nivea 250ml,4005900369581,,1375,1750,,1
1702,nivea men body lotion/lait corps maximum hydration 250ml,4005900098375,,1375,1750,,1
1703,nivea body lotion/lait corpr express hydration48h 250ml,4005900088796,,1375,1750,,1
1704,1800miellerie du burkina miel multi-fleurs garanti 100%NATUREL POIDS,,1,500G 1800f,1500,,1800
1705,PLANET MOKA CAFE350ML,6034071253946,,138,200,,1
1706,FRUITY MANGO 125ML,6253500771299,,84,100,,1
1707,4000cuito 4000F,,,2244,4000,,1
1708,750an qi food tongs 750F,,,358,750,,1
1709,lordil,6222001551495,,154,500,,1
1711,satnam,6034000262445,,490,750,,1
1712,don simon multivitamins 0/5le,8410261627113,,500,700,,1
1713,don simon cocopine 0/5le,8410261627205,,500,700,,1
1714,hollandia yghurt fruit drink 1lt,6151100052162,,1120,1300,,1
1715,hollandia yoghurt drink,6151100052186,,1120,1300,,1
1716,ceres 100% apple guava e other fruit 1l,6001240100660,,1120,1500,,1
1717,ceres 100% apple orange other fruit 1l,6001240100141,,1120,1500,,1
1718,ceres 100% apple cherry other fruit 1l,6001240100714,,1120,1500,,1
1719,milo canemete,9556001204356,,448,600,,1
1720,royal mango,6033000340849,,200,400,,1
1721,sports energy 500ml,6034032253565,,294,500,,1
1722,choco malta,6033000342027,,259,400,,1
1723,malta guinness 33ml,5000213019160,,396,500,,1
1724,saikirpa euro,6034000262230,,307,500,,1
1725,heaven,4711170008296,,613,800,,1
1726,euro camphor,6034000262629,,613,800,,1
1727,dp.led light,6939020442634,,4590,6000,,1
1728,multifuntional,6546443488097,,4080,5500,,1
1729,1250emrgency  lamp 125F,,,817,1250,,1
1730,2250poupe 2250,,,1560,2250,,1
1731,2500poupe 2500F,,,1420,2500,,1
1732,1000frozen 1000F,,,613,1000,,1
1733,1500torche1500,,,919,1500,,1
1734,2250torche2250F,,,1428,2250,,1
1735,torche,6939020402300,,1930,3000,,1
1736,torche,6921472920235,,1225,2250,,1
1737,torche,6925263632055,,1836,2750,,1
1738,1300brik game,,,714,1300,,1
1739,1800brick game 1800F,,,817,1800,,1
1740,LAMGER,6848525851356,,181,400,,1
1741,MONTRE,8809091319822,,202,400,,1
1742,1300PISTOLE JEUX 1300f,,,715,1300,,1
1743,750PIPONT 750f,,,408,750,,1
1744,CISEAU,6970207132559,,170,300,,1
1745,3500DEAL3500f,,,2667,3500,,1
1746,EXPLORE,6482459062237,,3570,5000,,1
1747,AVENTOS BLUE FOR HIM,6291106485462,,2346,3500,,1
1748,DOVE INVISIBLE DRY 250ML,8901030599064,,1176,1500,,1
1749,RIGHT HPURS 48 GUARD,5012583200789,,1120,1750,,1
1750,NIVEA MEN COOL KICK,4005900088000,,1088,1750,,1
1751,AXE ANARCHY,8712561249393,,734,1500,,1
1752,48H NIVEA RICH NOURRISSANT400ML,4005900230836,,1734,2500,,1
1753,DEEP NIVEA,4005900663863,,735,1250,,1
1754,IMPROVED FORMULA NIVEA MEN,4005900088413,,735,1250,,1
1755,"LA,S VEGAS",6182000104491,,2550,3000,,1
1756,LOMANI CODE,3610400000066,,4693,6000,,1
1757,BODY PHILOSOPHY COCKTAIL PRTY,6970392255507,,1020,2000,,1
1758,MISS PERFECT,6182000103647,,2343,3000,,1
1759,BIG SIZE 500G,8859178712596,,1377,2000,,1
1760,CRISTAL ORIGINAL BIC,6181005230112,,77,100,,1
1761,LUDE BLACK SHOE POLISH,,,137,300,,1
1762,YUAN BAI AIR FRESHENER NATURE,6972865710131,,625,750,,1
1763,AIR FRESHENER  COCKTAIL FRUIT,6972865710162,,625,750,,1
1764,YUAN BAI FRESHENER  LOMON 360ML,6972865710179,,625,750,,1
1765,APPLE YUAN BAI AIR FRESHENER 360ML,6972865710193,,625,750,,1
1766,BLRALYUAN BAI AIR FRESHENER,6972865710186,,625,750,,1
1767,P R D  500 SUPER PLATINUM,8908003134246,,62,150,,1
1768,1250PIRIGEOR 1250f,,,715,1250,,1
1769,900PIRIGEOR MONYENN 900f,,,510,900,,1
1770,500VIP BLACK EAU DE PARFUM 50ML 500,,,289,500,,1
1771,BLACK .SCHWARZ WILO LIQUI SHOE POLISH75ML,8690628411016,,500,750,,1
1772,700DEODORANT JTORA 700f,,,400,700,,1
1773,BREEKE DEODORNT,6036000066443,,400,700,,1
1774,CINNAMON PUMPKIN,6970392252391,,1020,2000,,1
1775,LOVE MILLION,6970392252292,,1020,2000,,1
1776,CRANBERRY,6970392252421,,1020,2000,,1
1777,BODY FINE FRAGRANCE MIST 236ML,6970392257891,,1020,2000,,1
1779,original quality bic sensitive,3086125705010,,498,650,,1
1780,belle france tomote ketchup nature poids net,,1,340g,834,,900
1781,sel de table fin,3165720448833,,634,800,,1
1782,la baleine poids net,,1,250g,650,,800
1783,3000tubouchon 3000F,,,2000,3000,,1
1784,600herbal au gingembre nandiai les vertus 600F,,,500,600,,1
1785,750glascounne 750,,,357,750,,1
1786,2250pompe a eau 2250,,,2000,2250,,1
1787,2500ultrajuegos 2500,,,2000,2500,,1
1788,1000tami gros1000,,,525,1000,,1
1789,3750loussen de fer 3750,,,2050,3750,,1
1790,4000istancil de cuisine 4000,,,2244,4000,,1
1791,2500fourchette stainless steel tableware 2500F,,,1500,2500,,1
1792,2500ciullere stainless steel 2500,,,1500,2500,,1
1793,2250ecumoire,6943720101340,,1530,2250,,1
1794,2250lousseen 2250,,,1530,2250,,1
1795,1800lousseen,,,910,1800,,1
1796,bonnet rouge gold encore plus cremeux  160g lait concentre non sucre,6186000208647,,459,500,,1
1797,executive ashford,6939727603673,,182,400,,1
1798,v i p toothbrush premium,6939727602034,,103,250,,1
1799,smokers extra hard texture,6932973588299,,90,250,,1
1800,hard premium v.i.p,6939727609019,,60,200,,1
1801,extra dorco,6928158527887,,325,500,,1
1802,dorco toothbrush,6928158521076,,325,500,,1
1803,dorco,6928158555361,,325,500,,1
1804,diplomat elegant,6939727608432,,100,200,,1
1805,jocare,6953612880376,,100,200,,1
1806,izideen,6939293718061,,110,200,,1
1807,kids jocare,6953612880352,,110,200,,1
1808,classic select exhard,8901060102012,,135,200,,1
1809,alive advance colage,6958404382069,,150,250,,1
1810,comfort ashfrd,6939727602744,,150,250,,1
1811,live dr care more cleaning poicer,6958404389235,,300,500,,1
1812,3000rizerie nebnooma 3000,,,2500,3000,,1
1813,mousse lavita net,,1,1kg,750,,1000
1814,madar doedoranr bakhour encens 300ml,750958279439,,738,1000,,1
1815,family brewed premium beer martens alc.10%vol 33cl/330ml/.33l,5411616006822,,313,500,,1
1816,350cuotaux fruit knife 350F,,,214,350,,1
1817,3500multi-functional vegetable grater 60.c colour,,1, pink blue beige 3500F,2000,,3500
1818,aaa longer lasting sony alkaline,4901660143273,,667,1400,,1
1819,nectar mangue gingembre dafani 1l,9504000004132,,900,1100,,1
1820,2500pain de singe 2500,,,2250,2500,,1
1821,1200tapioca manioc 1200,,,1000,1200,,1
1822,1400pain de singe 1400,,,1200,1400,,1
1824,500pain de singe 500,,,400,500,,1
1825,2000huile 100%naturelle de soja 2000,,,1750,2000,,1
1826,1000huile 100%naturelle de soja 1000,,,800,1000,,1
1827,200barro asetou aracides 200F,,,150,200,,1
1828,million smart collection no. 262 eau de parfum,646024134217,,695,1000,,1
1829,beurre president,3228020355741,,1550,1750,,1
1830,2000babali eau minerale 2000,,,1800,2000,,1
1831,fruity ananas,6253500771213,,75,100,,1
1832,tiktok boisson aromatisee 350ml,6034000552300,,134,200,,1
1834,5500sodigaz a p c 12.5kg 5500F,,,4825,5500,,1
1835,400serpiere 400,,,225,400,,1
1836,400brabo nature  400F,,,259,400,,1
1837,sabapower,9555246313908,,40,50,,1
1839,le lait candia demi-ecreme 50cl,6181007404078,,563,700,,1
1840,utra alkaline,6942449511911,,334,500,,1
1841,aa 2lr6 1.5v ultra alkane,6942449511218,,334,500,,1
1842,pkcell green enrgy easy life ualtra alkane,6942449511416,,50,100,,1
1843,reine moutarde,6046000003928,,334,500,,1
1844,"14500heineken pure malt lager o,33l/330ml.alc.5%vol serve cool 14500",,,13500,14500,,1
1845,nectar mangue citron  dafani1l,9504000004156,,900,1100,,1
1846,1750planet boisson 1750F,,,1650,1750,,1
1847,airsun training tootthpaste fluoride-free netwt 45g,6941352001595,,500,750,,1
1848,ivorio the snn from africa33cl,5999991071418,,417,500,,1
1849,roco petite pois net,,1,400g,313,,500
1850,talpe macedoine de legumes mixed vegetables poids net,,1, 800e,1167,,1350
1851,avril petits pois tres fins poids net,,1,800g,1167,,1350
1852,mangoustan's rhum cafe 1l 42%vol,3014409000759,,2250,2750,,1
